Unit,Mines,Output,Target,Achieved,Effective_Date
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-01
ICC,SUDRA MINES,Ore Production,32.25806451612903,28.5,2021-04-01
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-04-01
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-04-02
ICC,SUDRA MINES,Ore Production,32.25806451612903,32.25806451612903,2021-04-02
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-04-02
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-04-03
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.0,2021-04-03
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-04-03
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-04-04
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.8,2021-04-04
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-04-04
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-04-05
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.12,2021-04-05
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-04-05
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-04-06
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.9,2021-04-06
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-04-06
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-04-07
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.12,2021-04-07
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-04-07
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.86,2021-04-08
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.22,2021-04-08
ICC,SUDRA MINES,MIC Production,1267.258064516129,1112.0,2021-04-08
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-10
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.95,2021-04-10
ICC,SUDRA MINES,MIC Production,1267.258064516129,1120.0,2021-04-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.85,2021-04-10
ICC,SUDRA MINES,Ore Production,32.25806451612903,28.5,2021-04-10
ICC,SUDRA MINES,MIC Production,1267.258064516129,856.0,2021-04-10
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.865,2021-04-11
ICC,SUDRA MINES,Ore Production,32.25806451612903,32.25806451612903,2021-04-11
ICC,SUDRA MINES,MIC Production,1267.258064516129,933.0,2021-04-11
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.79,2021-04-12
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.0,2021-04-12
ICC,SUDRA MINES,MIC Production,1267.258064516129,983.0,2021-04-12
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.82,2021-04-13
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.8,2021-04-13
ICC,SUDRA MINES,MIC Production,1267.258064516129,1020.0,2021-04-13
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.88,2021-04-14
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.12,2021-04-14
ICC,SUDRA MINES,MIC Production,1267.258064516129,1008.0,2021-04-14
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.87,2021-04-15
ICC,SUDRA MINES,Ore Production,32.25806451612903,29.9,2021-04-15
ICC,SUDRA MINES,MIC Production,1267.258064516129,1103.0,2021-04-15
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.89,2021-04-16
ICC,SUDRA MINES,Ore Production,32.25806451612903,30.12,2021-04-16
ICC,SUDRA MINES,MIC Production,1267.258064516129,908.0,2021-04-16
ICC,SUDRA MINES,Ore Grade (%Cu),0.9,0.86,2021-04-17
