Month,Unit,Mine,Project Name,Contractor,LoI/Work awarded Date,Work Commencement Date,Mobilisation Period ,Target Completion date ,"Total Drilling Quantity 
(in m)",Total CAPEX Amount  as per tender (Rs in Lakh),Physical Work Target in the month,Physical Work Done in the month,Physical Work Target upto the month for FY,Physical Work Done upto the month for FY,Physical Work Target upto the month from inception,Physical Work Done up to the month from inception,Drilling Target for the month,Achieved Drilling Meterage in the month,Drilling Target upto the month for FY,Achieved Drilling Meterage up to the month for FY,Drilling Target upto the month from inception,Achieved Drilling Meterage up to the month from inception,Bills raised by Contractor in the month,Bills raised by Contractor up to the month in FY,Bills rised by Contractor upto the month from inception,Payments made to Contractor in the month,Payments made to Contractor up to the month in FY,Payments made to Contractor upto the month from inception,Target CAPEX Amount for FY,Achieved CAPEX Amount for FY,Target CAPEX Amount for FY and so on,Achieved CAPEX Amount for FY and so on,Present Status,date,Drilling Type,"Total Drilling Quantity 
(in m)Target",current_row
August,ICC,Kendadih Mining Lease,AX size Definition Diamond Core Drilling and assoicated geological activities in Singhana  Block,"M/s MPS Engineering, Rajasthan",30.01.2016,01.08.2017,3 month ,17.05.2025,12900.0,4.9,3.96788,2.681,39.592600488,21.378294,129.22879426884,82.62710631,985.8514,921.2781333,5704.136200399999,5019.639856352,7529.459784528,6896.985162627648,3.97,28.2664,81.97256,3.8112,25.40018704,69.10286808,0.11,25.40018704,0.00267907,0.11,Contract is Completed,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Kendadih Mining Lease,AX size Definition Diamond Core Drilling and assoicated geological activities in Singhana  Block,"M/s SKS, Nagpur",17.05.2017,24.11.2017,2 month ,17.05.2025,17600.0,4.9,2.448068,1.6541,24.4274973768,13.1897934,79.730454531924,50.978551491,1150.2541,1074.91245645,6655.3702226000005,5856.725795888001,8785.088693832002,8047.141243550114,2.894,20.60528,59.755312,2.77824,18.515904608,50.373728016,1.0,18.515904608,0.43610772,1.0,Running,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Kendadih Mining Lease,AQ siize Definition Core drilling and assoicated geological activities in Sudra Block,"M/s PPT Engineering, Rajasthan",09.06.2022,09.05.2023,4 month ,09.05.2026,29000.0,5.3,1.99948,1.351,19.951362648,10.772874,65.12051512764,41.63715801,1250.362,1168.463289,7234.594532,6366.44318816,9549.66478224,8747.492940531842,3.51,24.9912,72.47448,3.3696,22.45709232,61.09598664,1.72,22.45709232,0.0,1.72,Running,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Kendadih Mining Lease,G2 and Depth Exploration and assoicated geological activities in Sudra Block  ,M/s South North Pinnacle Expl. Ltd. ,18.02.2023,15.09.2019,3 month ,25.06.2027,8800.0,5.3,3.552,2.4,35.4428352,19.1376,115.684112736,73.966824,995.15,929.967675,5757.9379,5066.985352,7600.478028,6962.037873648001,2.897,20.62664,59.81725599999999,2.78112,18.535098704,50.42594680799999,5.05,18.535098704,0.0,5.05,Under mobilization ,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Kendadih Mining Lease,AX size Definition Diamond Core Drilling and assoicated geological activities in Kendadih Block  ,"M/s MPK Engineering, Rajasthan",12.07.2018,12.01.2018,6 month ,21.10.2025,12000.0,5.0,1.46076,0.987,14.575865976,7.870338,47.575091362680006,30.418856370000004,1154.24,1078.63728,6678.43264,5877.0207232,8815.5310848,8075.026473676801,1.894,13.48528,39.107312,1.81824,12.117872608,32.967464016,1.35906104224,12.117872608,0.26,0.124135,Completed,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Kendadih Mining Lease,Production cum Defination Drilling along with allied activities for a period of 5 years at Kendadih Block ,M/s EL Mining,17.02.2024,18.07.2023,1 month ,17.07.2026,18000.0,3.2,1.7612,1.19,17.573739120000003,9.48906,57.360039231600005,36.6752169,1184.23,1106.662935,6851.95478,6029.7202064,9044.5803096,8284.8355635936,2.321,16.52552,47.924008,2.22816,14.849832272,40.399938744,0.982422,14.849832272,0.18,0.982422,Running,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Kendadih Mining Lease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-08-2024,Under Ground Drilling,,0.0
August,ICC,Sudra Mining Lease,Validation drilling for Geophysical survey and assoicated geological activities at Kendadih,"M/s MECL, Nagpur",04.10.2022,18.11.2022,3 month,04.08.2023,5500.0,8.61,4.2032,2.84,41.94068832,22.64616,136.8928667376,87.5274084,285.54,266.83713,1652.13444,1453.8783072,2180.8174608,1997.6287940928,2.01,14.3112,41.50248,1.9296,12.860044319999998,34.98659064,4.0,12.860044319999998,0.67,0.6097,Completed,20-08-2024,Surface Drilling,,0.0
August,ICC,Kendadih Mininig Lease,G2 and Depth Exploration and assoicated geological activities in Sudra Block  ,M/s South West Pinnacle Expl. Ltd. ,18.11.2023,31.03.2018,2 month,25.11.2025,58800.0,31.99,3.72368,2.516,37.155905568,20.062584,121.27551151824,77.54188716,270.654,252.926163,1566.0040439999998,1378.08355872,2067.12533808,1893.48680968128,2.92,20.7904,60.29216,2.8032,18.68225344,50.82629088,5.05,18.68225344,0.51,0.4641,Under mobilization ,20-08-2024,Surface Drilling,,0.0
August,ICC,Kolihan Mining Lease,AX size Definition Diamond Core Drilling and assoicated geological activities in Khetri Block ,"M/s MPS Engineering, Rajasthan",30.01.2016,01.08.2017,3 month ,31.05.2025,,5.9,4.99,4.7904,13.2734,11.94606,39.68746600000001,34.92497008000001,1100.5,1023.465,3191.45,2840.3905,9861.580499999998,9467.11728,3.95,11.3681,45.358719,3.555,9.662885,43.54437024,2.52,1.32,4.032,2.832,Contract is Completed,20-08-2024,Under Ground Drilling,12900.0,0.0
