Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Daily Progress  Report of Malanjkhand Copper Project,,,,,,,,,,,
,,,,,,,,,,,,2023-07-20 00:00:00
,,,,,,,,,,,,
,Sl.No,  ,,Target,,Progress ,,,,,,Remarks (if any)
,,,UNITS,For the month, For the day,For the day,, For the month,Cumulative for the year,,,
,,OVERALL PERFORMANCE,,,,,,,,,,
,1,Total Open Pit Excavation,Cubic Meter,1000,32.25806451612903,32,,610.31,22965.559999999998,,,                             
,2,Total Open Pit Ore,Tonnes,30000,967.741935483871,0,,26460,893640,,,
,3,Total Development Ore - UG,Tonnes,8510,274.51612903225805,0,,0,29526,,,
,4,Total Production Ore - UG,Tonnes,560,25,150,,6500,35699,,,
,5,TOTAL ORE FROM MINE (2+3+4),Tonnes,39070,1267.258064516129,150,,32960,958865,,,
,6,Ore Grade (%Cu),(%),0.9,0.9,0.85,,0.89,0.915,,,
,7,Crushing,Tonnes,11450,369.35483870967744,130.6,,3306.795,43551.55499999999,,,
,8,Milling,Tonnes,75000,2419.3548387096776,3023.5,,52144.1,43552.555,,,
,9,Concentrate (WMT),Tonnes,75000,2419.3548387096776,1701.2,,47859.35,43553.555,,,
,10,MIC,Tonnes,150000,4838.709677419355,4724.7,,100003.45,43554.555,,,
,11,Concentrate Dispatched (WMT),Tonnes,75000,2419.3548387096776,3023.5,,52144.1,43555.555,,,
,,,,,,,,,,,,
,,CONTRACTUAL PERFORMANCE,,,,,,,,,,
,A,SMSL PRODUCTION CONTRACT,,,,,,,,,,
,1,Total Development,meters,1000,32.25806451612903,32,,610.31,22965.559999999998,,,                             
,2,Trough drilling in m,meters,8510,274.51612903225805,0,,0,29526,,,
,3,Production drilling in m,meters,17790,573.8709677419355,172,,8486.195,46676.075000000004,,,
,,,,,,,,,,,,
,,CONTRACTUAL PERFORMANCE,,,,,,,,,,
,B,NORTH DEVELOPMENT CONTRACT,,,,,,,,,,
,1,Total Development,meters,400,12.903225806451612,3023.5,,52144.1,789915.8499999999,,,
,2,Decline -Development,meters,200,6.451612903225806,1701.2,,47859.35,789916.85,,,
,3,Horizontal Development,meters,150,4.838709677419355,4724.7,,100003.45,789917.85,,,
,4,Vertical Development,meters,95,3.064516129032258,4724.7,,100003.45,789918.85,,,
,5,Associated Development,meters,125,4.032258064516129,4724.7,,100003.45,789919.85,,,
,,,,,,,,,,,,
,,CONTRACTUAL PERFORMANCE,,,,,,,,,,
,C,SOUTH DECLINE DEVELOPMENT,,,,,,,,,,
,1,Total Development,meters,400,12.903225806451612,3023.5,,52144.1,789915.8499999999,,,
,2,Decline -Development,meters,200,6.451612903225806,1701.2,,47859.35,789916.85,,,
,3,Horizontal Development,meters,150,4.838709677419355,4724.7,,100003.45,789917.85,,,
,4,Vertical Development,meters,95,3.064516129032258,4724.7,,100003.45,789918.85,,,
,5,Associated Development,meters,125,4.032258064516129,4724.7,,100003.45,789919.85,,,
